Objetivo Geral,Objetivo específico,,Conhecimento principal da questão,Questão,Alternativa correta,Alternativa errada 1,Alternativa errada 2,Alternativa errada 3,Conhecimento secundário da questão
,,B- Fotografia clínica,b - Fotografias intrabucais pré-opertaórias,"A fotografia clínica permite analisar a evolução do tratamento e as características estéticas do paciente, além de fazer parte do respaldo jurídico. Diante o exposto, assinale a alternativa correta.","As fotografias intrabucais frontal, lateral e oclusal são essenciais no momento pré-cirúrgico.","Durante a coleta de dados, suficiente a obtenção de duas fotografias extrabucais: frontal e lateral.","As fotografias intrabucais transoperatória frontal e lateral devem ser obtidas após rebatimento do retalho, instalação do implante e/ou enxerto e após sutura.","Durante a intervenção cirurgia, apenas a fotografia oclusal do momento da instalação do implante dentário é suficiente.",Secundário: Objetivo Geral 2; Objetivo específico 5; J. Fotografias intrabucais transoperatória; a.) Tipos de fotografia; Terciário: Objetivo Geral 2; Objetivo específico 5; J. Fotografias intrabucais transoperatória; b.) Momento para fotografar
,,C - Modelo de estudo,a - Objetivo,Assinale a alternativa que não corresponde à importância na obtenção do do modelo de estudo na Implantodontia.,Selecionar o comprimento ideal do implante dentário,Reproduzir a arcada dentária,Realizar o enceramento diagnóstico,Confeccionar o guia cirúrgico,não se aplica
,,D - Montagem em articulador,a - Objetivo,"Os articuladores semi ajustáveis, como o próprio nome diz, articula modelos antagônicos de maxila e mandíbula com o objetivo de simular os movimentos mandibulares e fornecer informações essenciais ao tratamento, com exceção:",Selecionar o comprimento do implante,Selecionar o local da osteotomia a partir do enceramento diagnóstico,Estudar os movimentos protrusivos,Avaliar o espaço protético,não se aplica
,,E - Enceramento diagnóstico e guia cirúrgico,a - Objetivo,"O planejamento reverso permite que a posição dos implantes seja norteada pela posição protética final, evitando problemas biológicos, mecânicos e estéticos. Diante dessa informação, assinale a alternativa correta:","O planejamento reverso permite a confecção do guia cirúrgico, que será utilizado principalmente para orientar o local da osteotomia no sentido mesio-distal e vestíbulo-lingual.","O planejamento reverso permite a confecção do guia cirúrgico, que será utilizado apenas para orientar o local da osteotomia no sentido mesio-distal.","O implante deve ser instalado onde há tecido ósseo, evitando maior desconforto cirúrgico ao paciente.","A instalação de um implante unitário dispensa o uso de guia, pois há os dentes remanescentes como referência.",Secundário: Objetivo Geral 2; Objetivo específico 1; 5. Enceramento diagnóstico e Guia Cirúrgico; B.) Guia cirúrgico. Terciário: Objetivo Geral 2; Objetivo específico 5; A. Importância e função do guia cirúrgico; a.) Objetivo. Quaternário: Objetivo Geral 2; Objetivo específico 5; A. Importância e função do guia cirúrgico; b.) Confecção do guia cirúrgico.
,,,b - guia cirúrgico,"O guia cirúrgico simula a localização ideal dos implantes a partir do enceramento diagnóstico e deve preencher alguns requisitos. Dentre as alternativas abaixo, qual requisito não deve estar presente no guia cirúrgico?",Volumoso,Rígido e estável,Transparente,Estar estendido sobre osso desdentado,Objetivo Geral 2; Objetivo específico 5; A. Importância e função do guia cirúrgico; b.) Confecção do guia cirúrgico.
,2 - Análise dos dados,A - Condições sistêmicas,,"Segundo a classificação para a severidade da doença adotada pela American Society of Anesthesiology, assinale a alternativa correta.","Paciente ASA IV e V podem ser submetidos a cirurgias simples, desde que devidamente medicado.",Paciente diabético é considerado classe ASA II e não pode ser submetido a cirurgia de instalação de implante unitário.,Paciente ASA III pode ser submetido a cirurgia desde que adotada a terapia antibiótica.,"Paciente ASA I pode ser submetido a qualquer cirurgia que não há risco de complicações, pois é considerado saudável.",não se aplica
,3 - Selecionar tipos de prótese implantossuportada,A - Objetivo,,"Em relação às vantagens das próteses implantossuportadas, assinale a alternativa incorreta.",Diminui a tonicidade muscular,Recupera a propriocepção oral,Reduz o tamanho das próteses,Reabilitação protética mais permanente,não se aplica
,,B - Unitária,,"Em relação às vantagens das próteses implantossuportadas, assinale a alternativa incorreta.",Diminui a tonicidade muscular,Recupera a propriocepção oral,Reduz o tamanho das próteses,Reabilitação protética mais permanente,Secundário: Objetivo Geral 2; Objetivo específico 3; B. Parcial. Terciário: Objetivo Geral 2; Objetivo específico 3; C. Total.
,,C - Parcial,,"Há 5 anos foi confeccionada uma prótese parcial fixa sobre dente ao paciente F.S.A, gênero masculino, na região de molar superior esquerda, pois foi necessário realizar exodontia do elemento 26. Hoje o paciente retornou e foi diagnosticada a presença de cárie nos dentes pilares (25 e 27) com envolvimento de furca e pneumatização do seio maxilar na região do 26. Paciente exigiu uma solução que não envolva o levantamento do assoalho do seio maxilar, mas que utilize implantes osseointegrados. Assinale a hipótese ideal de tratamento para o caso.","Instalação de dois implantes dentários nas regiões do 25 e 27 e confecção de prótese implantossuportada parcial, reabilitando as regiões do 25, 26 e 27.","Instalação de três implantes dentários e confecção de próteses implantossuportadas unitárias nas regiões do 25, 26 e 27.","Instalação de três implantes dentários, sendo selecionado implante curto na região do 26, e confecção de próteses implantossuportadas unitárias nas regiões do 25, 26 e 27.",Confeccionar uma prótese parcial removível.,não se aplica
,,D - Total,a - Protocolo,"As reabilitações sobre implante podem ter diversas conformações. Neste sentido, pode-se afirmar que: I - As próteses do tipo protocolo são próteses totais implanto retidas e muco suportadas. II - As próteses do tipo “overdenture” são próteses totais removíveis. III - Próteses parafusadas possuem a desvantagem da reversibilidade. IV - Próteses cimentadas apresentam facilidade para confecção de reparos após instalação definitiva. É correto apenas o que se afirma em:",II,"I, II e III",II e III,I e IV,Secundário: Objetivo Geral 2 ; Objetivo específico 3; C. Total; b.) Overdenture. Terciário: Objetivo Geral 2 ; Objetivo específico 3; D. Modo de retenção; a.) prótese implantossuportada cimentada. Quaternário: Objetivo Geral 2 ; Objetivo específico 3; D. Modo de retenção; b.) prótese implantossuportada parafusada (aparafusada).
,,,b - Overdenture,"As overdentures são uma opção de prótese implantossuportadas a pacientes completamente desdentados. Em relação a esse tipo de prótese, assinale a alternativa correta.",Tratamento alternativo para os casos em que não há exigência para confecção de prótese implantossuportadas fixa e exista a necessidade de grande reconstrução para obtenção de suporte labial.,É a única solução protética disponível aos pacientes que têm menor poder aquisitivo e querem que a reabilitação tenha retenção em implantes.,"Por ser uma prótese implanto-muco-suportada, não permite atingir a estabilidade oclusal com a prótese antagonista.","Trata-se de um tratamento longo, independente da necessidade de aumento ósseo.",não se aplica
,,E - Modo de retenção,a - prótese implantossuportada cimentada,Assinale a alternativa correta em relação às próteses implantossuportadas cimentadas e parafusadas.,"Uma das vantagens de prótese implantossuportada cimentada é a impossibilidade de permanecer resíduos do agente cimentante, que pode comprometer a saúde periodontal.","As próteses implantossuportadas cimentadas apresentam baixa incidência de falhas mecânicas, devido a supraestrutura ser mais passiva e oferecer maior resistência mecânica a área oclusal.","As próteses implantossuportadas parafusadas tem maior facilidade de reversibilidade, devido à maior índice de falhas técnicas, como o afrouxamento do parafuso de retenção.",O afrouxamento do parafuso de retenção de próteses implantossuportadas parafusados pode estar relacionado a falta de passividade das estruturas metálicas.,Secundário: Objetivo Geral 2 ; Objetivo específico 3; D. Modo de retenção; b.) prótese implantossuportada parafusada (aparafusada).
,,,b - prótese implantossuportada parafusada (ou aparafusada),"As reabilitações sobre implante podem ter diversas conformações. Neste sentido, pode-se afirmar que: I - As próteses do tipo protocolo são próteses totais implanto retidas e muco suportadas. II - As próteses do tipo “overdenture” são próteses totais removíveis. III - Próteses parafusadas possuem a desvantagem da reversibilidade. IV - Próteses cimentadas apresentam facilidade para confecção de reparos após instalação definitiva. É correto apenas o que se afirma em:",II,"I, II e III",II e III,I e IV,Secundário: Objetivo Geral 2 ; Objetivo específico 3; C. Total; a.) Protocolo. Terciário: Objetivo Geral 2 ; Objetivo específico 3; C. Total; b.) Overdenture. Quaternário: Objetivo Geral 2 ; Objetivo específico 3; D. Modo de retenção; a.) prótese implantossuportada cimentada (aparafusada).
,4 - Selecionar o tipo de implante,A - Desenho do implante (macroengenharia),a - Importância,"Em relação à macroengenharia dos implantes dentários, assinale a alternativa correta.","O desenho do implante favorece o processo de estabilidade primária e manutenção do tecido ósseo circundante ao longo do implante em função, bem como permite a adaptação a defeitos anatômicos e alvéolo pós-extração.","O implante dentário cilíndrico proporciona compressão do osso cortical, sendo indicado em alvéolo fresco.","A instalação de implante dentário cônico é considerado fácil, favorecendo a redução do estresse no osso cortical, sendo indicado para rebordos cicatrizados.","O implante cilíndrico é indicado para região de baixa densidade óssea, enquanto o implante cônico é indicado em região de densidade óssea do tipo IV.",Secundário: Objetivo Geral 2; Objetivo específico 4; A. Desenho do implante (macroengenharia); b.)Cônico. Terciário: Objetivo Geral 2; Objetivo específico 4; A. Desenho do implante (macroengenharia); c.)Cilíndrico.
,,,b - Cônico,Paciente apresenta zonas com concavidade vestibular que maximiza as chances de fenestração. Assinale a alternativa que indica a melhor opção de implante osseointegrável.,Cônico,Cilíndrico,Curto,"Qualquer desenho de implante será viável, desde que associado com expansor ósseo.",Objetivo Geral 2; Objetivo específico 4; A. Desenho do implante (macroengenharia); c.) Cilíndrico
,,,c - Cilíndrico,"Em relação ao desenho do implante dentário da figura, assinale a alternativa correta. (inserir figura 6 do arquivo em anexo)",Indicado para instalação em sítio cirúrgico que apresente densidade óssea tipo I e II.,Alvéolo fresco,Indicado para instalação em sítio cirúrgico que apresente densidade óssea tipo III e IV.,"Independete da densidade óssea, pois a distribuição das tensões é mais equilibrada em comparação ao cônico.",não se aplica
,,,d - Desenho das roscas,"O desenho das roscas do implante dentário melhora a estabilidade primária, aumenta a área de superfície do implante e favorece as dissipações das tensões no tecido ósseo. Diante dessa informação, assinale a alternativa incorreta.","Para que o implante dentário apresente uma boa estabilidade primária em osso do tipo II, o ideal é utilizar implantes com roscas trapezoidais.","Os implantes com roscas arredondadas têm uma ótima estabilidade primária, desde que usados em osso do tipo I.",Implantes com roscas quadradas são uma excelente opção para osso tipo I.,"As roscas triangulares têm uma ótima inserção, mas estabilidade regular, em osso tipo IV.",Secundário: Objetivo Geral 2; Objetivo específico 4; A. Desenho do implante (macroengenharia); d.) Desenho das roscas; Tipos. Terciário: Objetivo Geral 1; Objetivo específico 1; B.) Classificação dos tecidos ósseos; c.) Densidade óssea.
,,B - Conexão de implantes,a - Hexágono interno,"Os implantes dentários apresenta três conexões protéticas: hexágono externo, hexágono interno e Cone Morse. Assinale a alternativa correta.","Nos casos clínicos que envolvam reabilitações em estágio único e carga imediata, a melhor opção são os implantes dentários com conexão hexágono interno.","O implante dentário com conexão hexágono externo apresenta menor incidência de afrouxamento do parafuso de retenção, principalmente quando selecionado em casos clínicos que envolvam prótese implantossuportada unitária.","Devido a fácil reversibilidade dos implantes dentários com hexágono externo, são indicados para reabilitar regiões estéticas.","Os implantes dentários Cone Morse devem ser selecionados em casos clínicos em que a reabilitação será em dois estágios, devido à melhora estabilidade mecânica do pilar, minimizando afrouxamento e fratura do parafuso de retenção.",Secundário: Objetivo Geral 2; Objetivo específico 4; B. Conexões de implantes; c.) Cone Morse. Terciário:  Objetivo Geral 2; Objetivo específico 4; B. Conexões de implantes; b.) Hexágono externo.
,,,b - Hexágono externo,"Em relação aos implantes com hexágono externo, assinale a alternativa incorreta.",Incompatibilidade com diversos fabricantes,"Há maior acúmulo de bactéria na interface prótese-implante, devido ao processo de saucerização.",Tem baixa previsibilidade,Menor custo-benefício em todos os planejamentos,não se aplica
,,,c - Cone Morse,Assinale a alternativa correta sobre plataforma switching.,Promove a manutenção do osso cervical e a espessura de tecido mole.,O perfil de emergência permanece vulnerável.,Não há evidência científica suficiente sobre as suas propriedades.,Indicado para regiões com espaço protético curtos.,não se aplica
,,C - Texturização de superfície,a - Importância,"Branemark descreveu a osseointegração como “o contato direto entre osso vivo e uma superfície de implante sob cargas funcionais sem interposição de tecido mole ao nível da microscopia óptica”. Diante dessa afirmação, assinale a alternativa incorreta.",A texturização por jateamento não limita a proliferação de tecido mole e não potencializa a formação óssea.,A texturização de superfície do implante tem o objetivo de maximizar e acelerar a osseointegração.,"Microscopicamente, as superfícies usinadas apresentam ranhuras e sulcos produzidos durante a usinagem, podendo observar uma osteogênese a distância.",A texturização da superfície do implante tem uma desvantagem: aumenta a retenção de placa bacteriana quando acima do nível ósseo.,não se aplica
,,,b - Característica de texturização,"A texturização da superfície de implantes dentários com revestimento de hidroxiapatita tem apresentado melhores resultados na resistência da interface hidroxiapatita-osso em comparação ao titânio no osso. Em relação ao revestimento de hidroxiapatita, assinale a alternativa correta.",Cicatrização da interface óssea mais rápida,Maior corrosão de metais,Minimiza a retenção de biofilme,Esfoliação após a instalação do implante,Secundário: Objetivo Geral 2; Objetivo específico 4; C. Texturização de superfície; e.) Forma de texturização. Terciário: Objetivo Geral 2; Objetivo específico 4; C. Texturização de superfície; c.) Métodos de texturização
